bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,statezip,price,basement,renovated,era_category,lat,lng,10th,ave,ct,dr,ln,ne,nw,pl,rd,se,st,sw,way
2,1.75,7.1308988302963465,10.445666483960114,1.0,0,0,4,7.1308988302963465,0,1950,1983,1400 S 359th St,98003,299000.0,0,1,450218.6320663586,47.3091,-122.3358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,2.5,7.867105500316739,8.472405008626103,2.0,0,0,3,7.867105500316739,0,2009,0,37540 32nd Pl S,98001,335000.0,0,0,614313.8655298545,47.3039,-122.2108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,2.5,8.026170194946426,8.87346805533363,2.0,0,0,3,8.026170194946426,0,2006,0,2401 NE Daphne St,98029,826000.0,0,0,614313.8655298545,47.544,-122.0471,0.0,0.0,0.0,0.0,0.0,0.6870009097877064,0.0,0.0,0.0,0.0,0.7266565557062454,0.0,0.0
3,1.0,7.352441100243583,9.570319849923216,1.0,0,0,4,7.352441100243583,0,1953,1983,18975 Marine View Dr SW,98166,387500.0,0,1,450218.6320663586,47.4343,-122.3436,0.0,0.0,0.0,0.8331572069342718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5530362271438312,0.0
3,2.0,7.333023014386481,9.09661160664784,1.0,0,0,3,7.333023014386481,0,1977,2004,10536 NE 148th Ct,98011,371025.0,0,1,539932.8210941788,47.7735,-122.2044,0.0,0.0,0.8841053150955672,0.0,0.0,0.4672876970558584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.75,7.926602599181384,10.594808065754666,1.0,0,0,4,7.365180126021013,1190,1978,2000,15017 253rd Ave SE,98027,492000.0,1,1,539932.8210941788,47.544,-122.0471,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
3,2.5,8.104703468371108,8.575462099540212,2.0,0,2,3,7.799753318287247,870,2008,0,9400 44th Ave SW,98136,670000.0,1,0,614313.8655298545,47.6211,-122.3244,0.0,0.5162342959404601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564474015926825,0.0
4,3.0,7.7664168980196555,8.740336742730447,1.0,0,2,3,7.286191714702382,900,1960,2012,9957 Rainier Ave S,98118,418000.0,1,1,450218.6320663586,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.0,8.166216268592143,8.49596955496461,1.0,0,0,3,7.590852123688581,1540,1954,2005,301 NW 54th St,98107,800000.0,1,1,450218.6320663586,47.6211,-122.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.8499731344101603,0.0,0.0,0.0,0.526826034646132,0.0,0.0
3,1.0,6.956545443151569,9.19786285046507,1.0,0,0,3,6.956545443151569,0,1953,0,18527 Kenlake Pl NE,98028,310000.0,0,0,450218.6320663586,47.7516,-122.2489,0.0,0.0,0.0,0.0,0.0,0.6361612497445948,0.0,0.7715561316737722,0.0,0.0,0.0,0.0,0.0
4,3.75,8.09559870137819,9.305650551780507,2.0,0,0,3,7.749322464660356,960,2008,0,1313 4th St,98033,1050000.0,1,0,614313.8655298545,47.6974,-122.2054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2.5,7.580699752224563,8.389359819906353,2.0,0,0,3,7.580699752224563,0,2006,0,33823 SE Odell St,98065,410000.0,0,0,614313.8655298545,47.5293,-121.8412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712126979970032,0.70205068506395,0.0,0.0
3,2.5,7.560080465021827,9.172119159155985,2.0,0,0,3,7.560080465021827,0,1993,0,955 11th Ct SW,98045,391500.0,0,0,539932.8210941788,47.49,-121.7742,0.0,0.0,0.8034783493549739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953339752759005,0.0
3,2.0,7.506591780070841,8.517193191416238,1.5,0,0,4,7.450079569807499,100,1941,1998,2160 50th Ave SW,98116,750000.0,1,1,450218.6320663586,47.6211,-122.3244,0.0,0.5162342959404601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564474015926825,0.0
3,2.0,7.762170607138205,8.533066540572527,1.5,0,0,3,7.484368643286131,570,1929,0,5531 Seward Park Ave S,98118,568000.0,1,0,623805.5955773297,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.5,7.432483807917119,9.172223049863055,2.0,0,0,3,7.432483807917119,0,1984,0,4501-4507 186th Ave SE,98027,535000.0,0,0,539932.8210941788,47.544,-122.0471,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
3,2.5,7.326465613840322,7.699842407396986,2.0,0,0,3,6.946975992135418,480,2007,0,2537 13th Ave W,98119,499950.0,1,0,614313.8655298545,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,7.01211529430638,9.405084448768694,1.0,0,0,4,7.01211529430638,0,1957,2001,717 164th Ave SE,98008,416000.0,0,1,450218.6320663586,47.5951,-122.1535,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
4,3.0,7.7142311448490855,8.699514748210191,1.5,0,0,4,7.146772179452637,970,1914,1945,2009 4th Ave N,98109,1190000.0,1,1,623805.5955773297,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,7.414572881350589,8.883224230278994,1.0,0,0,3,7.003065458786462,560,1963,2008,29140 42nd Ave S,98001,225000.0,1,1,450218.6320663586,47.3039,-122.2108,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3.5,8.46168048148598,9.516795129751248,1.5,0,0,5,8.35936910622267,460,1935,0,1404 Broadmoor Dr E,98112,2453500.0,1,0,623805.5955773297,47.6211,-122.3244,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.75,7.644919344958857,8.366370301681654,1.5,0,0,4,7.1308988302963465,840,1925,1968,5011 SW Dawson St,98136,494000.0,1,1,623805.5955773297,47.6211,-122.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6023022875295023,0.7982680968426139,0.0
3,2.5,7.843848638152472,9.507329003748263,2.0,0,0,3,7.843848638152472,0,1990,2009,4967 165th Pl SE,98006,715000.0,0,1,539932.8210941788,47.5951,-122.1535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489919797839273,0.0,0.6625790626177024,0.0,0.0,0.0
4,3.0,8.077136638538454,9.097843340749037,2.0,0,0,3,7.803843303538772,770,1990,2009,20301 96th Ave S,98031,430000.0,1,1,539932.8210941788,47.3887,-122.2129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.75,7.064759027791802,7.783224016336037,1.0,0,0,4,6.606650186198215,430,1903,0,2112 N 50th St,98103,499000.0,1,0,623805.5955773297,47.6211,-122.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1.0,6.813444599510896,9.266248003914479,1.0,0,0,4,6.813444599510896,0,1968,0,2536 S 365th Pl,98003,190000.0,0,0,450218.6320663586,47.3091,-122.3358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,1.0,6.813444599510896,8.411832675758411,1.5,0,0,4,6.813444599510896,0,1906,1990,4430 Letitia Ave S,98118,350000.0,0,1,623805.5955773297,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.75,7.731930721948486,9.241742135115715,1.0,0,0,3,7.170119543449628,980,1959,1989,504 NW 175th Ct,98177,420000.0,1,1,450218.6320663586,47.7564,-122.3426,0.0,0.0,0.7425677724264059,0.0,0.0,0.0,0.6697709334941949,0.0,0.0,0.0,0.0,0.0,0.0
4,2.75,7.8709295967551425,8.70267641154777,2.0,0,0,3,7.8709295967551425,0,2013,1923,1107 SE 10th St,98045,499431.0,0,1,614313.8655298545,47.49,-121.7742,0.8559445854565472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3682177634023988,0.3630076381325254,0.0,0.0
5,1.5,7.832014180505469,8.657476736863293,1.5,0,0,4,7.31986492980897,1010,1928,0,2134 Montgomery Ave,98022,250000.0,1,0,623805.5955773297,47.2017,-121.9897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.5,7.560080465021827,9.124782483614537,2.0,0,0,3,7.560080465021827,0,1988,2000,206 Oakesdale Ave SW,98057,230000.0,0,1,539932.8210941788,47.4784,-122.1919,0.0,0.5162342959404601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564474015926825,0.0
3,2.0,7.081708586105575,8.311889558230359,1.5,0,0,5,7.081708586105575,0,1907,0,8301-8399 47th Ave S,98118,245000.0,0,0,623805.5955773297,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5,6.927557906278317,6.966024187106113,3.0,0,0,3,6.927557906278317,0,2008,0,743 N 71st St,98103,441750.0,0,0,614313.8655298545,47.6211,-122.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,3.0,8.616133139271142,9.025575833531088,2.0,0,3,3,8.180320874773685,1950,2008,0,4468 158th Ave SE,98006,1270000.0,1,0,614313.8655298545,47.5951,-122.1535,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
3,1.0,7.047517221357296,8.476371196895983,1.5,0,0,4,7.047517221357296,0,1938,0,208 N St NE,98002,200000.0,0,0,623805.5955773297,47.3039,-122.2108,0.0,0.0,0.0,0.0,0.0,0.6870009097877064,0.0,0.0,0.0,0.0,0.7266565557062454,0.0,0.0
3,1.5,7.333023014386481,8.881836305004146,1.0,0,0,3,7.333023014386481,0,1975,0,3005 NE 194th St,98155,375500.0,0,0,539932.8210941788,47.7574,-122.2865,0.0,0.0,0.0,0.0,0.0,0.6870009097877064,0.0,0.0,0.0,0.0,0.7266565557062454,0.0,0.0
4,3.5,7.882314918980268,8.026170194946426,2.0,0,0,3,7.630461261783627,590,2001,0,2133 N 62nd St,98103,1008000.0,1,0,614313.8655298545,47.6211,-122.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2.0,7.832014180505469,8.594154232552366,1.5,0,0,4,7.251344983372214,1110,1906,1990,1917 3rd Ave W,98119,840500.0,1,1,623805.5955773297,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,6.966024187106113,8.977146484808472,1.0,0,0,4,6.966024187106113,0,1968,0,4149-4399 19th Ave SW,98106,326500.0,0,0,450218.6320663586,47.6211,-122.3244,0.0,0.5162342959404601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564474015926825,0.0
5,1.75,7.570443252057374,8.802973456578423,1.5,0,0,4,7.570443252057374,0,1953,1983,15212 20th Ave SW,98166,359000.0,0,1,450218.6320663586,47.4762,-122.3394,0.0,0.5162342959404601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564474015926825,0.0
3,2.0,7.478734825567875,8.796338932845732,1.0,0,0,4,6.866933284461882,810,1954,1979,19293 Stone Ave N,98133,449500.0,1,1,450218.6320663586,47.7564,-122.3426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,7.154615356913663,7.855544677915663,1.5,0,0,3,7.154615356913663,0,1910,2014,6008 8th Ave NE,98115,478000.0,0,1,623805.5955773297,47.6211,-122.3244,0.0,0.6454246701002005,0.0,0.0,0.0,0.7638239294667636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.25,7.9229859587111955,10.620009404412524,2.0,0,0,5,7.9229859587111955,0,1978,0,13204 NE 45th St,98005,1185000.0,0,0,539932.8210941788,47.5951,-122.1535,0.0,0.0,0.0,0.0,0.0,0.6870009097877064,0.0,0.0,0.0,0.0,0.7266565557062454,0.0,0.0
3,1.5,7.700747794511798,8.748304912379623,1.5,0,0,5,7.700747794511798,0,1916,0,1422 33rd Ave S,98144,799000.0,0,0,623805.5955773297,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,7.286191714702382,8.760453046315272,1.0,0,0,3,7.286191714702382,0,1995,0,24108 SE 261st Pl,98038,285000.0,0,0,539932.8210941788,47.3659,-122.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489919797839273,0.0,0.6625790626177024,0.0,0.0,0.0
3,2.0,7.414572881350589,8.22389538017882,1.0,0,0,5,6.877296071497429,690,1922,1956,6318 SW Marguerite Ct,98116,638000.0,1,1,623805.5955773297,47.6211,-122.3244,0.0,0.0,0.8034783493549739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953339752759005,0.0
4,2.75,7.495541943884256,8.60392119492606,1.0,0,0,3,6.956545443151569,750,2002,0,1816 Talbot Rd S,98055,344500.0,1,0,614313.8655298545,47.4784,-122.1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,2.5,7.528331766707247,8.213381737034572,2.0,0,0,3,7.528331766707247,0,2000,0,7556 NE 203rd St,98028,384950.0,0,0,614313.8655298545,47.7516,-122.2489,0.0,0.0,0.0,0.0,0.0,0.6870009097877064,0.0,0.0,0.0,0.0,0.7266565557062454,0.0,0.0
3,1.5,7.478734825567875,9.753129670947565,1.0,0,0,3,7.05617528410041,610,1959,1989,16726 SE 45th St,98006,254000.0,1,1,450218.6320663586,47.5951,-122.1535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712126979970032,0.70205068506395,0.0,0.0
3,1.75,7.506591780070841,8.612503371220562,1.0,0,0,4,7.3901814282264295,200,1957,2001,4115 NE 62nd St,98115,659500.0,1,1,450218.6320663586,47.6211,-122.3244,0.0,0.0,0.0,0.0,0.0,0.6870009097877064,0.0,0.0,0.0,0.0,0.7266565557062454,0.0,0.0
3,1.0,7.038783541388542,9.082507000466299,1.0,0,0,3,7.038783541388542,0,1972,2002,4804 S 378th St,98001,172500.0,0,1,539932.8210941788,47.3039,-122.2108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2.5,7.533693709848633,8.979920411691197,2.0,0,0,3,7.533693709848633,0,1990,2009,4313 S 289th Pl,98001,299950.0,0,1,539932.8210941788,47.3039,-122.2108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,2.25,7.687080155783135,8.963544291996744,2.0,0,0,3,7.687080155783135,0,1986,0,26405 218th Ave SE,98038,302000.0,0,0,539932.8210941788,47.3659,-122.0368,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
4,2.5,7.904703913873747,10.487600812071937,2.0,0,0,3,7.904703913873747,0,1989,0,23762 SE 253rd Pl,98038,482000.0,0,0,539932.8210941788,47.3659,-122.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489919797839273,0.0,0.6625790626177024,0.0,0.0,0.0
